! NAME [11] IV - Input = 0 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.14041,-1.00E-09,0,4.49E-07,-113.9794,-74.84431,4.00E-06,-7.30E-05
0.13268,-4.80E-08,1,0.014052,-100.17729,1.47732,2.00E-06,0.1
0.11419,-9.70E-08,2,0.026547,-95.36107,7.25047,3.00E-06,0.2
0.09119,-1.46E-07,3,0.036892,-93.58526,10.44052,-3.00E-06,0.3
0.066644,-1.98E-07,4,0.044788,-92.26214,12.53219,-3.00E-06,0.4
0.043386,-2.54E-07,5,0.050223,-92.94136,13.9987,-2.00E-06,0.5
0.02434,-3.14E-07,6,0.053466,#NAME?,15.06231,0,0.6
0.011853,-3.72E-07,7,0.055091,-89.52336,15.86178,-3.00E-06,0.7
0.0048199,-4.39E-07,8,0.055837,#NAME?,16.50012,0,0.8
3.54E-04,-5.02E-07,9,0.056055,#NAME?,17.02857,0,0.9
-0.0017605,-5.72E-07,10,0.055908,-92.42604,17.47472,-1.00E-06,1
-0.0020875,-6.38E-07,11,0.055703,-91.95179,17.8727,1.00E-06,1.1
-0.0020125,-7.10E-07,12,0.05549,-88.47712,18.23397,2.00E-06,1.2
-0.0018215,-7.80E-07,13,0.0553,-91.07905,18.56672,-1.00E-06,1.3
-0.00164,-8.57E-07,14,0.055126,-90.67019,18.87483,1.00E-06,1.4
-0.001463,-9.31E-07,15,0.054972,-90.3105,19.16235,1.00E-06,1.5
-0.0012935,-1.01E-06,16,0.054833,#NAME?,19.43164,0,1.6
-0.001105,-1.09E-06,17,0.054714,#NAME?,19.68545,0,1.7
-8.97E-04,-1.17E-06,18,0.054612,#NAME?,19.92563,0,1.8
-6.80E-04,-1.26E-06,19,0.054534,#NAME?,20.15424,0,1.9
-4.62E-04,-1.35E-06,20,0.054476,#NAME?,20.37237,0,2
-2.43E-04,-1.43E-06,21,0.054442,#NAME?,20.58153,0,2.1
-5.40E-05,-1.52E-06,22,0.054428,#NAME?,20.78242,0,2.2
1.34E-04,-1.61E-06,23,0.054431,#NAME?,20.97576,0,2.3
3.05E-04,-1.70E-06,24,0.054454,-87.69551,21.16244,1.00E-06,2.4
4.87E-04,-1.80E-06,25,0.054492,#NAME?,21.34274,0,2.5
7.11E-04,-1.89E-06,26,0.054552,#NAME?,21.51781,0,2.59999
9.72E-04,-2.00E-06,27,0.054634,#NAME?,21.68829,0,2.7
0.001259,-2.11E-06,28,0.054746,#NAME?,21.85512,0,2.8
0.00155,-2.24E-06,29,0.054886,#NAME?,22.0186,0,2.9
0.001842,-2.36E-06,30,0.055056,#NAME?,22.17927,0,3
0.002077,-2.50E-06,31,0.055255,-86.01713,22.33729,1.00E-06,3.1
0.002296,-2.64E-06,32,0.055472,-85.79055,22.49221,-1.00E-06,3.2
0.002523,-2.78E-06,33,0.055714,-85.56737,22.64476,1.00E-06,3.3
0.0027325,-2.92E-06,34,0.055976,-85.34915,22.79482,-1.00E-06,3.4
0.002928,-3.07E-06,35,0.05626,#NAME?,22.94269,0,3.5
0.0030395,-3.22E-06,36,0.056562,#NAME?,23.08826,0,3.6
0.0030395,-3.38E-06,37,0.056868,#NAME?,23.2307,0,3.7
