! NAME [16] IV - Input = 0 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.14491,-9.18E-07,0,-0.0010424,-60.47263,-21.30764,9.77E-04,-0.007099
0.13993,-3.97E-06,1,0.0090619,-54.56783,-2.45991,8.79E-04,0.062631
0.12837,1.91E-06,2,0.01976,-59.52721,4.47779,5.85E-04,0.1419
0.11249,6.39E-06,3,0.029579,-49.24948,8.18328,0.001859,0.22251
0.093132,1.65E-05,4,0.038105,-47.51318,10.65461,0.001075,0.30513
0.071791,-5.87E-06,5,0.045279,-50.36848,12.48615,0.001565,0.39148
0.05009,-7.63E-07,6,0.050653,-60.48177,13.86107,0.001173,0.48029
0.031055,2.29E-06,7,0.054338,-56.08187,14.93381,0.001075,0.57316
0.016625,-1.05E-05,8,0.056476,-49.48479,15.76937,0.001075,0.66845
0.0079112,1.25E-06,9,0.057537,-57.67034,16.4451,0.001369,0.76659
0.0024925,-3.63E-06,10,0.058037,-52.1968,17.01414,0.001663,0.86638
-7.67E-04,1.25E-06,11,0.058035,-56.34158,17.4821,0.001859,0.96499
-0.001819,-6.14E-06,12,0.057882,-51.80352,17.90307,0.001075,1.06601
-0.0024688,-3.32E-06,13,0.057669,-53.7524,18.27759,0.001271,1.16632
-0.0021673,8.06E-06,14,0.057383,-50.62364,18.61923,0.001075,1.26806
-0.001633,-7.88E-06,15,0.057229,-76.26297,18.94084,-3.00E-06,1.36921
-0.0017923,5.14E-07,16,0.057054,-61.52633,19.23479,0.001369,1.46958
-0.0016211,6.90E-06,17,0.056868,-50.24936,19.50947,0.001369,1.57066
-0.001532,-1.44E-07,18,0.056728,-66.75207,19.76736,0.001467,1.67087
-0.0010557,1.20E-05,19,0.05656,-50.87667,20.00887,6.83E-04,1.77166
-6.64E-04,-2.87E-05,20,0.056515,-43.4709,20.24364,0.001565,1.87154
-8.25E-04,1.16E-05,21,0.056426,-46.44776,20.46427,0.001957,1.97218
-5.93E-04,1.19E-05,22,0.056349,-50.89084,20.67453,6.83E-04,2.07284
-3.78E-04,-1.50E-06,23,0.056307,-55.78729,20.87557,0.001761,2.17267
-1.93E-04,-7.63E-07,24,0.056273,-60.48177,21.0706,0.001173,2.27383
-1.58E-05,7.07E-07,25,0.056268,-59.04821,21.25575,0.001761,2.37308
-1.16E-07,-1.31E-06,26,0.05627,-58.94495,21.43633,9.77E-04,2.47375
5.28E-04,3.58E-05,27,0.056268,-54.37092,21.60737,-1.02E-04,2.5732
8.55E-04,-1.04E-05,28,0.056376,-47.35748,21.78212,0.001761,2.67372
7.81E-04,-1.73E-06,29,0.05644,-57.72059,21.94667,9.77E-04,2.77384
9.74E-04,-3.51E-06,30,0.056532,-52.33801,22.1065,0.001663,2.87314
0.0012387,8.60E-06,31,0.056634,-47.32508,22.26322,0.002153,2.97333
0.0014509,-2.23E-06,32,0.056778,-56.19703,22.41632,0.001075,3.07221
0.0012565,-7.80E-06,33,0.056923,-49.13168,22.56683,0.001565,3.17245
0.0013459,9.30E-06,34,0.057029,-50.00295,22.70836,0.001075,3.27147
0.001737,-3.76E-07,35,0.057192,-65.32161,22.85181,7.81E-04,3.3717
0.0015611,-1.54E-06,36,0.057376,-54.60951,22.99255,0.002251,3.47155
0.0015271,-1.83E-07,37,0.057503,-65.16657,23.12465,0.001663,3.57089
0.0015867,1.37E-06,38,0.057681,-56.70353,23.25781,0.001565,3.67073
0.0013968,2.02E-06,39,0.057818,-55.57815,23.38352,0.001369,3.76954
0.0013083,-7.24E-07,40,0.057958,-61.08853,23.50774,0.001075,3.86954
0.0015818,1.11E-05,41,0.058079,-47.0837,23.62651,0.001761,3.96858
0.0020462,6.94E-06,42,0.058274,-52.14902,23.7497,8.79E-04,4.06905
0.0020492,5.52E-07,43,0.058489,-60.63547,23.87095,0.001565,4.16893
0.0025092,1.62E-05,44,0.058682,-46.23492,23.98708,0.001467,4.26781
0.0035167,-2.27E-06,45,0.058988,-54.77162,24.11038,0.001467,4.36789
0.0050588,1.23E-05,46,0.059379,-49.21084,24.23565,9.77E-04,4.46618
0.0042149,7.01E-06,47,0.059989,-50.49951,24.37557,0.001271,4.56547
0.0017957,-2.21E-07,48,0.060217,-67.11619,24.48629,8.79E-04,4.66559
0.0012574,-1.07E-05,49,0.060347,-49.82063,24.58674,9.77E-04,4.76451
0.0012046,-2.43E-06,50,0.060468,-55.83522,24.68605,0.001075,4.86496
,,,,,,,
! NAME [16] IV - Input = -0.1 V,,,,,,,
Gd,Iin_A,Index,Iout_A,PdcIn_dBm,PdcOut_dBm,Vin_V,Vout_V
0.13457,-3.78E-06,0,-9.44E-04,-34.30207,-21.79992,-0.098217,-0.006997
0.12921,-5.25E-06,1,0.0085379,-32.91926,-2.66096,-0.097237,0.063468
0.11538,-6.10E-06,2,0.018533,-32.18025,4.26782,-0.099198,0.14416
0.096471,-2.04E-05,3,0.02741,-27.00015,7.943,-0.097727,0.2272
0.074954,-3.36E-06,4,0.034712,-34.81255,10.34682,-0.098413,0.31204
0.053282,-1.50E-06,5,0.040408,-38.34474,12.09872,-0.097727,0.40124
0.033574,-5.17E-06,6,0.044317,-32.94071,13.39204,-0.098217,0.49276
0.018355,2.22E-06,7,0.04666,-36.63546,14.38762,-0.097923,0.5886
0.0094867,-6.57E-06,8,0.047852,-31.90512,15.16049,-0.098217,0.68573
0.0038889,4.42E-06,9,0.048514,-33.5927,15.80539,-0.098903,0.78464
3.69E-05,-6.18E-06,10,0.048622,-32.13008,16.33806,-0.0991,0.88505
-9.20E-04,1.21E-06,11,0.048524,-39.22867,16.78804,-0.098707,0.98367
-9.62E-04,-3.67E-06,12,0.048439,-34.43306,17.20434,-0.098315,1.08452
-0.0013425,-5.14E-06,13,0.04833,-32.9425,17.57788,-0.098903,1.18459
-0.0011779,4.42E-06,14,0.048168,-33.60132,17.92034,-0.098707,1.2861
-6.71E-04,-1.81E-06,15,0.048092,-37.48023,18.24196,-0.098805,1.38716
-5.55E-04,2.68E-06,16,0.048033,-35.78813,18.54022,-0.098413,1.48759
-7.08E-05,-3.08E-06,17,0.04798,-35.18266,18.82059,-0.098315,1.58855
1.34E-04,-1.05E-05,18,0.048018,-29.87268,19.08834,-0.098315,1.68822
2.95E-04,-1.38E-06,19,0.048006,-38.64282,19.33858,-0.098903,1.78879
6.77E-04,-5.79E-06,20,0.048077,-32.42393,19.58027,-0.098805,1.88839
8.70E-04,2.72E-06,21,0.048142,-35.69088,19.81029,-0.099198,1.98842
0.0012295,1.52E-06,22,0.048251,-38.25104,20.03453,-0.098413,2.08902
0.0012704,-9.43E-06,23,0.048387,-30.30325,20.24841,-0.098903,2.18832
9.95E-04,2.43E-07,24,0.048505,-46.20909,20.45397,-0.098511,2.28881
0.0014459,2.33E-05,25,0.048586,-26.35993,20.64535,-0.099394,2.38794
0.0012858,-6.41E-06,26,0.048794,-31.98295,20.84243,-0.098805,2.48815
0.0010945,2.44E-05,27,0.048843,-26.20032,21.01728,-0.098217,2.58775
0.0013758,-4.59E-06,28,0.049013,-33.40972,21.19738,-0.099296,2.68798
0.0011108,-9.58E-06,29,0.049119,-30.267,21.36595,-0.098119,2.78832
7.44E-04,-1.41E-05,30,0.049235,-28.54495,21.52798,-0.098805,2.88753
6.66E-04,9.14E-06,31,0.049267,-30.45522,21.67952,-0.098511,2.98808
0.0010547,1.17E-06,32,0.049367,-39.36234,21.82952,-0.098903,3.08686
0.0010934,-6.41E-06,33,0.049477,-31.99158,21.97792,-0.098609,3.18703
0.0012531,-1.52E-05,34,0.049585,-28.25737,22.12113,-0.098315,3.2867
0.0011981,-7.42E-06,35,0.049727,-31.36287,22.26347,-0.098511,3.38651
9.69E-04,-1.23E-06,36,0.049825,-39.17671,22.39856,-0.098511,3.48667
0.0013706,-4.36E-06,37,0.049921,-33.66497,22.52865,-0.098609,3.5858
0.0012811,-2.61E-05,38,0.050098,-25.86158,22.66317,-0.099198,3.68553
0.0012683,-3.28E-06,39,0.050175,-34.90906,22.78494,-0.098511,3.78445
0.0016053,-4.75E-06,40,0.050351,-33.32605,22.91353,-0.097923,3.88461
0.0015626,-7.63E-07,41,0.050495,-41.23991,23.03513,-0.098511,3.98349
0.0016448,-2.04E-06,42,0.050662,-36.9775,23.15769,-0.098315,4.08398
0.0018902,8.83E-06,43,0.050825,-30.60505,23.27697,-0.098511,4.18424
0.0021137,-6.02E-06,44,0.051039,-32.27063,23.39683,-0.098413,4.28333
0.0024319,-3.20E-06,45,0.051246,-35.0223,23.51444,-0.098315,4.38315
0.0028262,-1.37E-05,46,0.051521,-28.68976,23.63432,-0.098805,4.48175
0.0023301,3.98E-07,47,0.051807,-44.05338,23.75411,-0.098805,4.58167
0.0010052,-9.31E-06,48,0.051986,-30.37426,23.8627,-0.098511,4.68145
5.17E-04,1.10E-08,49,0.052007,-59.60819,23.95604,-0.099492,4.78122
8.24E-04,-1.52E-05,50,0.05209,-28.27907,24.05318,-0.097825,4.88161
,,,,,,,
